"name","region","year","POP","GDP","HEX","LAN","MOR","GDP_cap","HEX_total"
"Jamaica","Latin America & Caribbean",2002,2615253,9694161516,4.85575957,10830,20.9,3706.77770601926,47072517554.4427
"Japan","East Asia & Pacific",2002,127445000,3.98e+12,7.84847852,364500,4.1,31229.1576758602,31236944509600
"Jordan","Middle East & North Africa",2002,4938935,9580161861,9.68129541,88240,26.2,1939.72219942154,92748377051.9564
"Kazakhstan","Europe & Central Asia",2002,14858948,24636598581,3.61480665,2699700,39,1658.03114601384,89056540383.9794
"Kenya","Sub-Saharan Africa",2002,32691980,13147743911,4.53836443,569140,99.9,402.170315502457,59669253300.4315
"Kiribati","East Asia & Pacific",2002,87343,72259045.96,9.10312141,810,66.9,827.30208442577,657782868.34465
"Korea, Dem. People’s Rep.","East Asia & Pacific",2002,23248053,NA,NA,120410,44.6,NA,NA
"Korea, Rep.","East Asia & Pacific",2002,47622179,6.09e+11,4.61261035,96790,6.5,12788.1590634481,2809079703150
"Kosovo","Europe & Central Asia",2002,1702310,2702427047,NA,10887,NA,1587.50582855062,NA
"Kuwait","Middle East & North Africa",2002,2042215,38137545245,3.56384791,17820,12.3,18674.5985339448,135916410913.924
"Kyrgyz Republic","Europe & Central Asia",2002,4990700,1605640633,5.43420861,191800,44.4,321.726537960607,8725386152.41445
"Lao PDR","East Asia & Pacific",2002,5502340,1758176653,4.04067662,230800,109.2,319.532535793862,7104223295.60695
"Latvia","Europe & Central Asia",2002,2310173,9537868349,6.28923484,62196,15.1,4128.63813619153,59985893919.8641
"Lebanon","Middle East & North Africa",2002,3522842,19152238806,10.04646111,10230,17.6,5436.58750690494,192412222333.912
"Lesotho","Sub-Saharan Africa",2002,1885488,656752929.1,6.90802017,30360,120.4,348.319866846143,4536862480.92938
"Liberia","Sub-Saharan Africa",2002,3070673,5.43e+08,5.42610813,96320,157.6,176.834198887345,2946376714.59
"Libya","Middle East & North Africa",2002,5518341,20481889764,4.56836292,1759540,26.5,3711.60277409461,93568705729.3852
"Liechtenstein","Europe & Central Asia",2002,33995,2688617885,NA,160,NA,79088.6272981321,NA
"Lithuania","Europe & Central Asia",2002,3443067,14278357284,6.39610514,62680,10.9,4146.98792791427,91325874414.9489
"Luxembourg","Europe & Central Asia",2002,446175,23308582722,8.26666277,2590,4.3,52240.8981274164,192684193009.423
"Macao SAR, China","East Asia & Pacific",2002,444178,7322690268,NA,27,NA,16485.9364218849,NA
